country,state,council_name,channel_title,channel_url,video_title,video_id,upload_date,video_length,location,nr_words,text,latlong
AUS,SA,City of Playford,CityOfPlayford,https://www.youtube.com/CityOfPlayford,Grenville Hub - Sneak Peak,_RR93p0ipuU,20150730,144.29,"12 Bishopstone Rd, Davoren Park SA 5113, Australia",245,you jenkinson is practically right on society libraries in cydia council building until i started to come one day he physically injured center I 've got a coffee bar dear you can even lovely cup of coffee cup of tea if you want something to eat with a couple you can if nothing or something that I would say it 's a very positive experience because our people are more eyes himself at home isolate it takes me out of my laziness because of it by myself so I feel a little better then when I come home you can sit down nobody 's pushing you out in its comfortable enter see stuff here it 's just very nice very helpful in doing a lot man to commute into English it 's amazing you know all the programs are offering nobody makes you well people talking people to see talk about Apollo how are you you know who save us a coffee in English it 's like you know you don 't feel me as I said you know of my friend pet GCF I 50-year season was busier on @ @ @ @ @ @ @ @ @ @ isn 't in our Tai Chi I trusted by the pier read a book here you see people and after it takes a while before you can ignore each other you know you 're introducing yourself then enter so that you 're developing a friendship,"(-34.7007431, 138.6687347)"
AUS,SA,City of Playford,CityOfPlayford,https://www.youtube.com/CityOfPlayford,Grenville Community Connections Hub,JmWNydatGeQ,20150730,1529.25,"12 Bishopstone Rd, Davoren Park SA 5113, Australia",2267,penguins and is practically right on society i see libraries in cydia council building until i started to come one day here to see Glendon center click of the coffee bar there you can even lovely cup of coffee cup of tea if you want something to eat with copper you can if nothing or something that I would say it 's a very positive experience because people are more eyes themself at home isolate it takes me out of my laziness because of it by myself so I feel a little better then when I come home you can sit down nobody 's pushing it out in its comfortable enter see stuff here it 's just very nice very helpful in doing a lot man dependence into English it 's amazing you know all the programs are offering you really makes you welcome here people talking people to see talk about Apollo how are you you know who save you mr. coffee in English it 's right you know you don 't feel it as I said you know what I space of my friend pet she see if @ @ @ @ @ @ @ @ @ @ Chi Chi Lawson so then she 's a min our timesheet accessing privateer breathable here you see people and after it takes a while before you can you know each other you know you 're introducing yourself then enter select are you developing a friendship you you it 's a good group of people everybody 's friendly everybody else 's shadow some of the summer different people are come and that 's nice and estate difficulty book as we have people from 90 93 he did for all ages if you 're in a winter walk walking frame it doesn 't matter they made lots of people you don 't feel only when you know another too so it was here even if you didn 't keep come to the fitness there 's always the team coffee and we 'd be lost but like this really would we hadn 't got this this place we wouldn 't know so many nice people come along and join us well we 'd like to see ya this keeps me my bow I just love it the instructors are it is fantastic people @ @ @ @ @ @ @ @ @ @ what I 'd do without it because it 's giving us a different least book what a time that 's the thing is you know you 've got so many other things to do a time that you wouldn 't do it because you might time to come here things a great get together please because it 's a big thing if you don 't know where anyone and they don 't know what 's happened so just explain the class or to encourage people to be eight but notice a lot of fun enjoy what I do just try and do because nobody knows what to do at the beginning it 's amazing how you improve you think that 's a lot easier than I thought of what and I 'll blow my whistle to take irritation right I do every Wednesday afternoon from one to three and that 's per week tour people we 've got with diversity of family its water color for color critics Pettersen work and that cludes color water pencils some people to have some time whose past tools the aim the class is @ @ @ @ @ @ @ @ @ @ first thing that 's my first variety I 've must it 's gotta be fun we wouldn 't miss it we 've made such good friends here and with the samsa girls teachers you know they 're rock and roll songs mostly and it takes us back to where we were you know younger and that 's nice it 's a really nice feeling to be able to get up and singing move yourself around and not being ashamed you know a lot of people my age would have to sit still and be waited on and here are we lucky enough to be able to move around you know and sing to her heart 's content doesn 't matter where attitude doesn 't her at all yes when I came up here from Victor Harbor and the doctor asked me what I was interested in narc 'd singing plainville cinders dismembers had things and teachers you one time we sang for the children in college a madman apparent and which we 've got a lot of satisfaction from the children all joined in and it made us feel needed @ @ @ @ @ @ @ @ @ @ bra i love that too slow because it starts off your so and petite you now is you know what says we probably in all of that sort of thing and then all of a sudden you can go and just makes you think of your own life it really does how you were treated as a child growing up and then all of a sudden you can let go was definitely my fav a group of northern suburbs retirees are overcoming loneliness through music they 've formed a community rock choir and it 's spreading joy from elizabeth right across a delayed from katy perry to the angel silver beach rock wires got it covered and walking in style wacky weeds to big bold bling there the full rock and roll group package in average a job 75 I sing bass because I have a naturally low voice and so we do harmony and I 'm with the boys a ton of fun for 35 northern suburbs retirees you 've become a big deal particularly amongst family they show all the people at work oh this is my mum @ @ @ @ @ @ @ @ @ @ beats have performed right across Adelaide 72 year old Robert Cousins has been there from the start it 's a big social thing the fact that we get out and entertain people it 's an it 's just a way of life in our way so many the band has allowed them to feel active included it 's boosted confidence proving you 're never too old to start something new you still feel if you know that feeling of Independence but still have assistants you know to be able to get to the shocks specifically to go to Los doctors appointments and but like today I 've got to go and have an injection in both shoulders so and the boys are from the home assessed transporter taking me there and they 'll pick me up afterwards and it 's a service that is very liable people are very nice and they 're all volunteers and for that without it people like myself would not have that independence and that mobilize my ability to get to these appointments and get out and do our shopping and things like that generally @ @ @ @ @ @ @ @ @ @ ring up the hub or home assessed and sometimes I get Lola on the line or somebody else floss and then I 've got me through the transport division and then I just say my appointment is on such and such a day is such as such a time and they generally make arrangements to pick me up about least half an hour or so before that appointment so as I get there in plenty of time oh I 've been using them for a long time and they 've been absolutely marvelous and so you get to know most of them and new ones come in over the time and you get to know them as well without them I think a lot of people like me would be lost you know I sort of lifting the cracks I suppose you could so fall through the cracks don 't be afraid they 're lovely people as I said and they 're all volunteers and they just good people I 've got friends that I never never would have had if I hadn 't gone to the club dota and @ @ @ @ @ @ @ @ @ @ and is if they 're going to do a crap they 've just been doing an LED lighting and of the graph you know but you get as many cups of tea oh she likes to the you know do you have a name and table with all the cups and everything go I always recommend we don 't grow old actually it 's also together you know everybody is talking to everybody else you know you I go round and talk to everybody you know a mountain and have a laugh people are you doing that well I want to fill them up litter you know the peeps you mind active because I go wednesday and thursday to the my videos than many buses they all come on pick you up and drop you up i live a crate more so it would have to get two buses at the one can you go to the cooker bus if the council didn 't at the many bushels followers you never have to kadena to the yellow corn festival tomorrow so you know something you wouldn 't be able to @ @ @ @ @ @ @ @ @ @ over the place of its places that you wouldn 't tree if you didn 't join the club gonna say that playford council they 're doing a good job from one tree hill you know and it was very nice like old country places it may be so local you learn you want to be yourself yeah I always do sing-alongs and you know I 've never been to the Virginia 1 i 'd like to go like visiting all the clubs you know we can swap ideas and all that it 's a case of you know and join clubs and enjoy yourself I 'm Michael Evans I 'm part of my mandate as the men 's wellness work and Felicity of leopard was to set up two mentions the site here second move we 've had in the last five months so we 've moved into a bigger premises with slowly getting us off sorted and making quite work the books i all-american may be widowed will be on the rhine all retired and find them suffer a loose end the BBQ is every friday 12 o 'clock @ @ @ @ @ @ @ @ @ @ social connection and and encouraging people to come along have a look at have a look at the Men 's Shed meet the guys some of the guys will bring their own projects and and can play around with their own projects one at the moment where a king kindy has approached us to repair some equipment and a couple of projects we 're doing at the moment is for the Granville center for the multicultural making some frames for them to put our work in club ad for mental health service we 're putting a tabletop on the pool table so they can have users lunch table is what some of the plans we 've got is by trailer so that we could do a mobile with our equipment we 've got connect simpler and Korean Air Care which has got a brewin doing association them and encouraging them multicultural flavor to the mention down the track we will be building a pergola and entertainment area at the side of the building with a fire pit where we can guys can sit around and yarn and from all different @ @ @ @ @ @ @ @ @ @ is the the men space there 's the Northern Railway men 's group there 's a Grenville men 's group and there 's the men 's monthly outings as well as the men ship the grenville men 's group meets every second last Friday of the month the men 's space program is run of the John McBurney Center every second Thursday from ten until one and the men 's outings every last Friday of the month so some of the items we 've had is push cooking at it man Crawford beach days then semaphore sighs a bit of diversity for the guys to get out reduce isolation Northern Railway men 's group meets every day at the men share and the guys have been meeting once a week for two hours got two tracks so and it 's loosely based on the city of playford so the project is has moved to the men ships a few different areas that the guys can get involved in slaughtering fabrication that can make the frames they can lay the tracks that matrix tronic sticking to the Olympics or the trains @ @ @ @ @ @ @ @ @ @ and indigenous men to be part of the programs that we run and I 've been meeting with Aboriginal workers in terms of having bush cooking days and the men shed so invite indigenous men to the monks there are men in the community who some projects right fit for them I 'm quite happy to meet with men and Tyler programs to fit their needs you,"(-34.7007431, 138.6687347)"
AUS,SA,City of Playford,CityOfPlayford,https://www.youtube.com/CityOfPlayford,Merry Christmas from the City of Playford,atUPm7wA7q4,20141222,106.6,"12 Bishopstone Rd, Davoren Park SA 5113, Australia",274,it 's an opportunity for families to get together to celebrate the Christmas season but most importantly spend some time with family and friends and a fun safe environment we 're doing something very conditional sing some Christmas carols they get here are going on right behind me don 't think the crowd is huge we 've had some kids activities three o 'clock tonight and that 's allowed families who may have some young Turkish and wine able to stay up so I like to see the fireworks tonight still enjoy part of a very special weirdly the crowd is building and continue to build or I think it 's been one of the biggest crowd too and for a number of years yeah might as well sing so ya feel won 't be singing obviously or night it 's just where to people like yeah I 've been around talking to light appear on the food business everyone 's so excited special timepieces and we have really appreciated we have a number of people to thank most importantly the community for showing their faith and support within the @ @ @ @ @ @ @ @ @ @ have provided the ongoing capacity for the city of player to run this event to all the service organizations and emergency services organizations that are keeping us safe tonight the city of paper staff sponsors and members of the council that have against continue to endorse the 2014 community cameras but most importantly is an opportunity for them and their families to create lifelong memories with their children and celebrate this wonderful time you,"(-34.7007431, 138.6687347)"
AUS,SA,City of Playford,CityOfPlayford,https://www.youtube.com/CityOfPlayford,Celebrate Playford 2013_14,XFUbAqyBmns,20140627,180.66,"12 Bishopstone Rd, Davoren Park SA 5113, Australia",367,a 21 million dollar project at mano pero is said to revitalize the northern suburbs and cater for the rapidly growing population the 16 and a half million dollars straighten center designed to help boost employment in the area it 's the operating lost everything park our new wetlands and walking trails the operator Fremont High new playground we 're developing across plane yet make sure the word to have a happy active and healthy community today 's visit will be remembered as the people 's to as taken when it went out of their way to rub shoulders with as many possible how excited are you to see the ball couple this morning yeah I think they loved NSS actually like I think it was probably their favorite place in Australia it shows particularly across South Australia that there is many things happening in the north and that allows that opportunity particularly in playful to talk about those things that may not necessarily hit mainstream media showcasing her stuff that we in session doing business in Adelaide 's northern suburbs could soon be made easier and cheaper they 're @ @ @ @ @ @ @ @ @ @ years by forty percent this is the engine room before the South Australian economy the reason I doubt about that and with the things that we 're doing such as the expansion of the northern CBD to be a delayed second DVD with our growing wetlands and parklands across plated with our ever-changing and larkin is really showing to people there is so much to do to live work and play in a safe at the environment you know we do our survey and take a really big living in a sea of paper I 'm exceedingly happy as one of the fastest growing local government areas we want people in South Australia when they 're trying to convince family and friends to settle from around the world to come to Adelaide and to set up their life that playful is a place where you can do that there 's a place that many people have done so well in place will continue to do so well,"(-34.7007431, 138.6687347)"
AUS,SA,City of Playford,CityOfPlayford,https://www.youtube.com/CityOfPlayford,"OPAL, Sprout and the City of Playford present Fresh Picks for Kids",1gEsxCumC4o,20140527,242.959,"12 Bishopstone Rd, Davoren Park SA 5113, Australia",807,opal with the support of sprout is launching its fresh pics for kids project to help support children and families to be able to make a healthier choice when eating out in the city of playford the project is about increasing the number of healthy choices on kids menus and is being piloted across five local food outlets will improve the healthy options available for kids in local food outlets across city of places so we can come up with menus the kids are going to love it 's affordable it 's not affecting their way séjour or their costs and encourage people to eat this healthy food but they have to have somebody to buy it so by getting the outlets on board I 've got somewhere to saucer from as well so there 's really no excuses to the general public around here forty-second Street Cafe Midway tavern Grand Central Elizabeth tavern and Playford tavern are all on the journey to help support building a healthy community I think it 's a really good opportunity for local food outlets as we know kids and families are eating out @ @ @ @ @ @ @ @ @ @ one thing they can do is increase the amount of healthy options available in the outlets then it 's ultimately going to have a really big impact on the food that kids are going to be eating by having calf 's restaurants sporting clubs involved helps to continue to build that healthy food choices and healthy options are essential part for any healthy community and it 's not just about making healthy nutritious meals the food tastes great exciting the taste buds and a youngster so I 'm job to make sure so the meals of a healthy but certainly tasty first and foremost I think we found out as well the kiss love eating thing to their hands things like being out of grab a slice of pizza or be able to eat a taco or gotta kind of be interactively involved in their food in some way is a really great way of getting kids to eat a whole host of different food has to look good it has to taste great has to be season has to have texture and obviously if we can make a nutritious @ @ @ @ @ @ @ @ @ @ I actually love the food I actually think it was quite nice it was very nice to my palates benmore position as the head chef I thought was actually quite great especially for children and was nice and bright and vibrant which I absolutely love and very good flavors and textures on the menus we saw a lot of deep-fried options so we just wanted to increase variety and offer some new fresh foods with some healthy meat choices and some salads and vegetables and also helps parents too because when you have some healthy choices there 's an opportunity to get your kids to try food get your kids involved in different foods in a safe and happy environment the plant food food outlets participating in the project understand their responsibilities in supporting parents when it comes to mealtime and believes this could provide their business with an advantage differentiating themselves in the industry we 're really good for them to come out to a place where they can have a normal healthy option without having to do it at mine you because molly is educating the children and @ @ @ @ @ @ @ @ @ @ well healthy options that it gives an option of parents ago well I can take my kids to the Midway and they can eat a healthy dinner I believe this is just the beginning of a healthy transition and encourages the community to support these food outlets across the city of Playford it 's super important that these venues get on board now when everyone thought we were making the movement or making the change the people of the future here we want to actually make sure that the the clients and the general public enjoy the food they get but they 're healthy as well as a parent you want to make sure you can give the best start in life to your kids and we know that food is a fundamental starting block not just for nutrition but also around mealtime and the interaction that you have as part of a family I think good nutrition is really important for kids as we know they 're growing bodies it 's really important physically and mentally getting a good diet is important to be able to learn concentrate and @ @ @ @ @ @ @ @ @ @ is a great start to laugh you,"(-34.7007431, 138.6687347)"
AUS,SA,City of Playford,CityOfPlayford,https://www.youtube.com/CityOfPlayford,Youth Week 2014 - South Australia set to celebrate,L_WhAHk2fFk,20140324,138.349,"12 Bishopstone Rd, Davoren Park SA 5113, Australia",348,the city of Playford is set to host South Australia 's official launch of Youth Week 2014 over a thousand young people are expected to fill Northern sound system at Elizabeth and celebrate the participation of young people in communities around a thousand we had over 800 people when we do we have pretty confident we 're going to get rusev thousand this year and we 've got a 70 volunteers helping us which I think and it 's all thanks to play feds dedicated volunteers the city of playford Youth Advisory Committee headspace Youth Advisory Committee and Elizabeth riders committee are putting the final touches on the event silent disco bands the food bans all the skate prompts the aerosol parks pretty much with the background work a highlight of the event will be the annual slam skate competition which is set to attract some of the best BMX riders and skateboarders from across the state we hope it 's bigger because that way i don 't know we get more people on it 's more fun anna gets a grad popped up and stuff like that so much @ @ @ @ @ @ @ @ @ @ we could just watch people just pull out these amazing tricks that we probably never seen before and start like this is a bigger scale comping like selfish rally people come from like Port Augusta to just come to ask a cond it 's big it 's a rush the launch kicks off at 4pm on april four and adds to a wonderful list of events hosted by northern sound system just I don 't have an event that you can be proud being a part of and getting all the kids out there being safe they have a good time Dorner 's versa it 's good it 's good feeling last year was just so flowy you just spread words that is good more people just come I love the Faculty of so many events on I just love being loved knowing that everyone has placed you,"(-34.7007431, 138.6687347)"
AUS,SA,City of Playford,CityOfPlayford,https://www.youtube.com/CityOfPlayford,OPAL in Playford - Best in Class,1CWKnSJ85GI,20131218,103.57,"12 Bishopstone Rd, Davoren Park SA 5113, Australia",281,openly in the city of playford has been working with IgA store manager Patrick to improve the number of healthy choices that are available in the supermarket the community has noticed the change and are buying more fresh fruit and vegetables and lean cuts of meat we 've seen a number of great changes in this supermarket fruit and veg sales have increased by three hundred and forty percent meat sales have increased by six hundred and fifty percent and we 've seen a huge change in the amount of water that soul who have helped us why putting signs up above the fresh fruit and ice because I know put little cards all around the store I 've also put recipe cards all around fruit veg we 've put to put in a higher fruit veg and meat content back into the store and we 've actually discovered the turnover has risen quite a lot which shows there is a strong demand for fresh produce and fresh meat in the community here in playford we 're proud to be part of the opal program it 's a fantastic opportunity @ @ @ @ @ @ @ @ @ @ connected together to promote healthy lifestyles and working partnership as a global initiative in preventing obesity and the work that we 've seen in our iga supermarket really makes sure that opal can work with business so a community has access to fresh fruit and vegetables and more importantly business gets a return on their investment we here at playford are committed with the opal program to making sure our young people are healthy nail and a healthy for life you,"(-34.7007431, 138.6687347)"
AUS,SA,City of Playford,CityOfPlayford,https://www.youtube.com/CityOfPlayford,Merry Christmas from Mayor Glenn Docherty at the Playford Community Carols 2013,RXbxmhvxQVw,20131207,45.05,"12 Bishopstone Rd, Davoren Park SA 5113, Australia",119,tonight we 're here at the 2013 city of Playford christmas carols that 's absolutely wonderful the in this festive season we can bring our community together for a night of celebration and fun culminating with a number of Acts their children we 've got a few to local talent bands we 've got some local schools performing and then finishing with our fantastic fireworks display tonight has been a combination of a lot of work from the city of playford a number of volunteers and some great sponsors such as Fairmont homes aj sound opal and many more community minded people getting together to enjoy this evening and have a safe and merry christmas and a happy 2014,"(-34.7007431, 138.6687347)"
AUS,SA,City of Playford,CityOfPlayford,https://www.youtube.com/CityOfPlayford,City of Playford Community Vision 2043,0xzhU4diLZo,20130411,247.43,"12 Bishopstone Rd, Davoren Park SA 5113, Australia",430,welcome to 2043 Playford is the city of opportunity supporting the community 's hopes and aspirations to be vibrant thriving and sustainable this vision reflects the insight experience priorities and hopes of the Playford community for their place in 2043 and what a place that will be join us as we take a journey through our city the state-of-the-art Stratton center who continued to showcase innovative approaches to boost local job opportunities the rejuvenation of our suburbs we ensure that all residents have access to quality services in infrastructure enhancing the livability of the area experience a village lifestyle in our weather planned accessible and community oriented developments social and physical connections create vibrant livable spaces that are eco-friendly and sustainable our rural townships will be preserved and enhanced to create an ideal village lifestyle with services and facilities in close proximity a genuine sense of community will pervade with vibrant public spaces ensuring people are safe and connected our environmental assets will be preserved with vast areas of open space providing a wide range of outdoor activities your health and well-being needs will be met in one place with @ @ @ @ @ @ @ @ @ @ research innovation and training to ensure the northern suburbs have ongoing high-quality medical care enhance transport links will make the precinct accessible to all residents whether you live in the suburbs or rural townships from grassroots to elite level our combination of local sporting clubs and world-class multi-purpose facilities will lead to a sense of community and hearts family and social connections these quality sports and leisure facilities will be accessible to all with our strong sporting culture contributing to a healthy lifestyle for all ages to enjoy the opening up of employment lands will create a diversity of local jobs for local people and training to employment programs will create a highly skilled workforce with specialized industries and services creating global networks and contributing to a thriving local economy this key activity center for the north will provide integrated retail commercial and entertainment facilities the bustling heart of the city will provide a vibrant and cosmopolitan lifestyle that is diverse accessible and connected the area will be alive with a sense of excitement and opportunity our city provides an enviable lifestyle that is connected healthy happy and vicious and @ @ @ @ @ @ @ @ @ @ opportunities offered making the city prosperous livable and happen this is Playford 2043 the city of opportunity for more information on our journey to 2043 visit our website at library,"(-34.7007431, 138.6687347)"
AUS,SA,City of Playford,CityOfPlayford,https://www.youtube.com/CityOfPlayford,Adams Road Crossing Opening,xL46Tli7q0w,20130129,30.529,"12 Bishopstone Rd, Davoren Park SA 5113, Australia",87,well good morning we 're here at the Adams Road school crossings outside the planted primary school with Saint Catherine McAuley school it 's fantastic the city of planters invested money in protecting our children with two brand-new school crossings and you can see behind me people using the cross into the first time today as school starts back in 2013 the city of paint that is proud to be working with school communities here in Prague wants to make sure that we have safe accessible crossings,"(-34.7007431, 138.6687347)"
